Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,BFX SELECT,,,,,"FX2-1
→FX2-2",6,Note,112,E8,0x95,0x70,0x0,-,-,-,
,,BFX SELECT,,,,,,6,Note,113,F8,0x95,0x71,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX2-2
→FX2-3",6,Note,113,F8,0x95,0x71,0x0,-,-,-,
,,BFX SELECT,,,,,,6,Note,114,F#8,0x95,0x72,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX2-3
→FX1-1",6,Note,114,F#8,0x95,0x72,0x0,-,-,-,
,,BFX SELECT,,,,,,5,Note,112,E8,0x94,0x70,0x7F,-,-,-,
,,BFX SELECT,,Yes,,,"FX2-3
→FX2-2",6,Note,114,F#8,0x95,0x72,0x0,-,-,-,
,,BFX SELECT,,,,,,6,Note,113,F8,0x95,0x71,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX2-2
→FX2-1",6,Note,113,F8,0x95,0x71,0x0,-,-,-,
,,BFX SELECT,,,,,,6,Note,112,E8,0x95,0x70,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX2-1
→FX1-3",6,Note,112,E8,0x95,0x70,0x0,-,-,-,
,,BFX SELECT,,,,,,5,Note,114,F#8,0x94,0x72,0x7F,-,-,-,
,,BFX SELECT,,,,,"FXFX1-3
→FX1-2",5,Note,114,F#8,0x94,0x72,0x0,-,-,-,
,,BFX SELECT,,,,,,5,Note,113,F8,0x94,0x71,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX1-2
→FX1-1",5,Note,113,F8,0x94,0x71,0x0,-,-,-,
,,BFX SELECT,,,,,,5,Note,112,E8,0x94,0x70,0x7F,-,-,-,
,,BFX SELECT,,,,,"FX1-1
→FX2-3",5,Note,112,E8,0x94,0x70,0x0,-,-,-,
,,BFX SELECT,,,,,,6,Note,114,F#8,0x95,0x72,0x7F,-,-,-,
,2-2,BFX CH SELECT,,No,Press,-,FX1 CH1,5,Note,28,E1,0x94,0x1C,dd,-,-,-,"Select CH1: 0x7F, Select other than CH1: 0x00"
,,BFX CH SELECT,,,,,FX2 CH1,6,Note,28,E1,0x95,0x1C,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 CH2,5,Note,29,F1,0x94,0x1D,dd,-,-,-,"Select CH2: 0x7F, Select other than CH2: 0x00"
,,BFX CH SELECT,,,,,FX2 CH2,6,Note,29,F1,0x95,0x1D,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 CH3,5,Note,30,F#1,0x94,0x1E,dd,-,-,-,"Select CH3: 0x7F, Select other than CH3: 0x00"
,,BFX CH SELECT,,,,,FX2 CH3,6,Note,30,F#1,0x95,0x1E,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 CH4,5,Note,31,G1,0x94,0x1F,dd,-,-,-,"Select CH4: 0x7F, Select other than CH4: 0x00"
,,BFX CH SELECT,,,,,FX2 CH4,6,Note,31,G1,0x95,0x1F,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 MST,5,Note,20,G#0,0x94,0x14,dd,-,-,-,"Select master: 0x7F, Select other than master: 0x00"
,,BFX CH SELECT,,,,,FX2 MST,6,Note,20,G#0,0x95,0x14,dd,-,-,-,
,,BFX CH SELECT,,Yes,,,FX1 CH1,5,Note,28,E1,0x94,0x1C,dd,-,-,-,"Select CH1: 0x7F, Select other than CH1: 0x00"
,,BFX CH SELECT,,,,,FX2 CH1,6,Note,28,E1,0x95,0x1C,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 CH2,5,Note,29,F1,0x94,0x1D,dd,-,-,-,"Select CH2: 0x7F, Select other than CH2: 0x00"
,,BFX CH SELECT,,,,,FX2 CH2,6,Note,29,F1,0x95,0x1D,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 CH3,5,Note,30,F#1,0x94,0x1E,dd,-,-,-,"Select CH3: 0x7F, Select other than CH3: 0x00"
,,BFX CH SELECT,,,,,FX2 CH3,6,Note,30,F#1,0x95,0x1E,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 CH4,5,Note,31,G1,0x94,0x1F,dd,-,-,-,"Select CH4: 0x7F, Select other than CH4: 0x00"
,,BFX CH SELECT,,,,,FX2 CH4,6,Note,31,G1,0x95,0x1F,dd,-,-,-,
,,BFX CH SELECT,,,,,FX1 MST,5,Note,20,G#0,0x94,0x14,dd,-,-,-,"Select master: 0x7F, Select other than master: 0x00"
,,BFX CH SELECT,,,,,FX2 MST,6,Note,20,G#0,0x95,0x14,dd,-,-,-,
,2-3,BEAT ◁,,No,Press,-,FX1,5,Note,6,F#-1,0x94,0x6,dd,0xB4,0x64,dd,"NoteOff=0x00, NoteOn=0x7F See below for MIDI OUT.
dd:03=1/4, 04=1/2, 05=1,06=2(light 1 and 4), 07=4, 08=8, 09=16, 0A=32"
,,BEAT ◁,,Yes,,,,5,Note,102,F#7,0x94,0x66,dd,-,-,-,
,,BEAT ◁,,No,,,FX2,6,Note,6,F#-1,0x95,0x6,dd,0xB5,0x64,dd,
,,BEAT ◁,,Yes,,,,6,Note,102,F#7,0x95,0x66,dd,-,-,-,
,2-4,BEAT ▷,,No,Press,-,FX1,5,Note,7,G-1,0x94,0x7,dd,0xB4,0x64,dd,
,,BEAT ▷,,Yes,,,,5,Note,107,B7,0x94,0x6B,dd,-,-,-,
,,BEAT ▷,,No,,,FX2,6,Note,7,G-1,0x95,0x7,dd,0xB5,0x64,dd,
,,BEAT ▷,,Yes,,,,6,Note,107,B7,0x95,0x6B,dd,-,-,-,
,2-5,LEVEL/DEPTH,,No,Turn,-,FX1-1,5,CC,-,-,0xB4,"0x02
0x22",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,LEVEL/DEPTH,,Yes,,,,,,,,,,,,,,
,,LEVEL/DEPTH,,No,,,FX1-2,5,CC,-,-,0xB4,"0x04
0x24",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,LEVEL/DEPTH,,Yes,,,,,,,,,,,,,,
,,LEVEL/DEPTH,,No,,,FX1-3,5,CC,-,-,0xB4,"0x06
0x26",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,LEVEL/DEPTH,,Yes,,,,,,,,,,,,,,
,,LEVEL/DEPTH,,No,,,FX2-1,6,CC,-,-,0xB5,"0x02
0x22",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,LEVEL/DEPTH,,Yes,,,,,,,,,,,,,,
,,LEVEL/DEPTH,,No,,,FX2-2,6,CC,-,-,0xB5,"0x04
0x24",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,LEVEL/DEPTH,,Yes,,,,,,,,,,,,,,
,,LEVEL/DEPTH,,No,,,FX2-3,6,CC,-,-,0xB5,"0x06
0x26",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,LEVEL/DEPTH,,Yes,,,,,,,,,,,,,,
,2-6,BFX ON/OFF,,No,Press,-,FX1-1,5,Note,71,B4,0x94,0x47,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,No,,,FX1-2,5,Note,72,C5,0x94,0x48,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,No,,,FX1-3,5,Note,73,C#5,0x94,0x49,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,No,,,FX2-1,6,Note,71,B4,0x95,0x47,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,No,,,FX2-2,6,Note,72,C5,0x95,0x48,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,No,,,FX2-3,6,Note,73,C#5,0x95,0x49,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,Yes,,,FX1,5,Note,67,G4,0x94,0x43,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BFX ON/OFF,,Yes,,,FX2,6,Note,67,,0x95,0x43,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
3.MIXER,3-1,INPUT SELECT (CH4),,No,Slide,-,-,4,Note,13,C#0,0x93,0xD,dd,-,-,-,"DECK4=0x00, SAMPLER=0x7F"
,,INPUT SELECT (CH4),,Yes,,,,,,,,,,,,,,
,3-2,MASTER LEVEL,,No,Turn,-,-,7,CC,-,-,0xB6,"0x08
0x28",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,MASTER LEVEL,,Yes,,,,,,,,,,,,,,
,3-3,MASTER CUE,,No,Press,-,-,7,Note,99,D#7,0x96,0x63,dd,0x96,0x63,dd,"NoteOff=0x00, NoteOn=0x7F"
,,MASTER CUE,,Yes,,,,7,Note,98,D7,0x96,0x62,dd,0x96,0x62,dd,"NoteOff=0x00, NoteOn=0x7F"
,3-4,BOOTH LEVEL,,No,Turn,-,-,7,CC,-,-,0xB6,"0x09
0x29",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,BOOTH LEVEL,,Yes,,,,,,,,,,,,,,
,3-5,TRIM (CH1),,No,Turn,Deck 1,-,1,CC,-,-,0xB0,"0x04
0x24",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TRIM (CH1),,Yes,,,,,,,,,,,,,,
,,TRIM (CH2),,No,Turn,Deck 2,-,2,CC,-,-,0xB1,"0x04
0x24",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TRIM (CH2),,Yes,,,,,,,,,,,,,,
,,TRIM (CH3),,No,Turn,Deck 3,-,3,CC,-,-,0xB2,"0x04
0x24",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TRIM (CH3),,Yes,,,,,,,,,,,,,,
,,TRIM (CH4),,No,Turn,Deck 4,-,4,CC,-,-,0xB3,"0x04
0x24",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,TRIM (CH4),,Yes,,,,,,,,,,,,,,
,3-6,EQ Hi (CH1),,No,Turn,Deck 1,-,1,CC,-,-,0xB0,"0x07
0x27",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Hi (CH1),,Yes,,,,,,,,,,,,,,
,,EQ Hi (CH2),,No,Turn,Deck 2,-,2,CC,-,-,0xB1,"0x07
0x27",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Hi (CH2),,Yes,,,,,,,,,,,,,,
,,EQ Hi (CH3),,No,Turn,Deck 3,-,3,CC,-,-,0xB2,"0x07
0x27",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Hi (CH3),,Yes,,,,,,,,,,,,,,
,,EQ Hi (CH4),,No,Turn,Deck 4,-,4,CC,-,-,0xB3,"0x07
0x27",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Hi (CH4),,Yes,,,,,,,,,,,,,,
,,EQ Mid (CH1),,No,Turn,Deck 1,-,1,CC,-,-,0xB0,"0x0B
0x2B",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Mid (CH1),,Yes,,,,,,,,,,,,,,
,,EQ Mid (CH2),,No,Turn,Deck 2,-,2,CC,-,-,0xB1,"0x0B
0x2B",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Mid (CH2),,Yes,,,,,,,,,,,,,,
,,EQ Mid (CH3),,No,Turn,Deck 3,-,3,CC,-,-,0xB2,"0x0B
0x2B",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Mid (CH3),,Yes,,,,,,,,,,,,,,
,,EQ Mid (CH4),,No,Turn,Deck 4,-,4,CC,-,-,0xB3,"0x0B
0x2B",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Mid (CH4),,Yes,,,,,,,,,,,,,,
,,EQ Low (CH1),,No,Turn,Deck 1,-,1,CC,-,-,0xB0,"0x0F
0x2F",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Low (CH1),,Yes,,,,,,,,,,,,,,
,,EQ Low (CH2),,No,Turn,Deck 2,-,2,CC,-,-,0xB1,"0x0F
0x2F",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Low (CH2),,Yes,,,,,,,,,,,,,,
,,EQ Low (CH3),,No,Turn,Deck 3,-,3,CC,-,-,0xB2,"0x0F
0x2F",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Low (CH3),,Yes,,,,,,,,,,,,,,
,,EQ Low (CH4),,No,Turn,Deck 4,-,4,CC,-,-,0xB3,"0x0F
0x2F",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,EQ Low (CH4),,Yes,,,,,,,,,,,,,,
,3-7,FILTER (CH1),,No,Turn,Deck 1,-,7,CC,-,-,0xB6,"0x17
0x37",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,FILTER (CH1),,Yes,,,,,,,,,,,,,,
,,FILTER (CH2),,No,Turn,Deck 2,-,7,CC,-,-,0xB6,"0x18
0x38",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,FILTER (CH2),,Yes,,,,,,,,,,,,,,
,,FILTER (CH3),,No,Turn,Deck 3,-,7,CC,-,-,0xB6,"0x19
0x39",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,FILTER (CH3),,Yes,,,,,,,,,,,,,,
,,FILTER (CH4),,No,Turn,Deck 4,-,7,CC,-,-,0xB6,"0x1A
0x3A",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,FILTER (CH4),,Yes,,,,,,,,,,,,,,
,3-8,CH CUE (CH1),,No,Press,Deck 1,-,1,Note,84,C6,0x90,0x54,dd,0x90,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH1),,Yes,,,,1,Note,104,G#7,0x90,0x68,dd,0x90,0x68,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH2),,No,Press,Deck 2,-,2,Note,84,C6,0x91,0x54,dd,0x91,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH2),,Yes,,,,2,Note,104,G#7,0x91,0x68,dd,0x91,0x68,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH3),,No,Press,Deck 3,-,3,Note,84,C6,0x92,0x54,dd,0x92,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH3),,Yes,,,,3,Note,104,G#7,0x92,0x68,dd,0x92,0x68,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH4),,No,Press,Deck 4,-,4,Note,84,C6,0x93,0x54,dd,0x93,0x54,dd,"NoteOff=0x00, NoteOn=0x7F"
,,CH CUE (CH4),,Yes,,,,4,Note,104,G#7,0x93,0x68,dd,0x93,0x68,dd,"NoteOff=0x00, NoteOn=0x7F"
,3-9,CH FADER (CH1),,No,Slide,Deck 1,-,1,CC,-,-,0xB0,"0x13
0x33",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,CH FADER (CH1),,Yes,,,bottom→other than bottom,1,Note,102,F#7,0x90,0x66,dd,-,-,-,"Play message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH1),,,,,other than bottom→ bottom,1,Note,82,A#5,0x90,0x52,dd,-,-,-,"Cue message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH2),,No,Slide,Deck 2,-,2,CC,-,-,0xB1,"0x13
0x33",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,CH FADER (CH2),,Yes,,,bottom→other than bottom,2,Note,102,F#7,0x91,0x66,dd,-,-,-,"Play message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH2),,,,,other than bottom→ bottom,2,Note,82,A#5,0x91,0x52,dd,-,-,-,"Cue message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH3),,No,Slide,Deck 3,-,3,CC,-,-,0xB2,"0x13
0x33",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,CH FADER (CH3),,Yes,,,bottom→other than bottom,3,Note,102,F#7,0x92,0x66,dd,-,-,-,"Play message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH3),,,,,other than bottom→ bottom,3,Note,82,A#5,0x92,0x52,dd,-,-,-,"Cue message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH4),,No,Slide,Deck 4,-,4,CC,-,-,0xB3,"0x13
0x33",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,CH FADER (CH4),,Yes,,,bottom→other than bottom,4,Note,102,F#7,0x93,0x66,dd,-,-,-,"Play message for CH fader start (Off=0x00, On=0x7F)"
,,CH FADER (CH4),,,,,"other than
bottom→ bottom",4,Note,82,A#5,0x93,0x52,dd,-,-,-,"Cue message for CH fader start (Off=0x00, On=0x7F)"
,3-10,CROSSFADER,,No,Slide,-,-,7,CC,-,-,0xB6,"0x1F
0x3F",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,CROSSFADER,,Yes,,-,"right side→
other position",7,Note,80,G#5,0x96,0x50,dd,-,-,-,"message for crossfader start (Off=0x00, On=0x7F)"
,,CROSSFADER,,,,,other position→ right side,7,Note,82,A#5,0x96,0x52,dd,-,-,-,"message for crossfader start (Off=0x00, On=0x7F)"
,,CROSSFADER,,,,,"left side→
other position",7,Note,81,A5,0x96,0x51,dd,-,-,-,"message for crossfader start (Off=0x00, On=0x7F)"
,,CROSSFADER,,,,,other position→ left side,7,Note,83,B5,0x96,0x53,dd,-,-,-,"message for crossfader start (Off=0x00, On=0x7F)"
,3-11,CH LEVEL METER (CH1),,-,-,-,-,-,-,-,-,-,-,-,0xB0,0x2,dd,"See below for MIDI OUT.
dd: 0x77-0x7F: Light red, two oranges and two greens,
0x65-0x76: Light two oranges and two greens, 0x57-0x64: Light one  orange and two greens, 0x41-0x56: Light two greens, 0x26-0x40: Light one
green"
,,CH LEVEL METER (CH2),,-,-,-,-,-,-,-,-,-,-,-,0xB1,0x2,dd,
,,CH LEVEL METER (CH3),,-,-,-,-,-,-,-,-,-,-,-,0xB2,0x2,dd,
,,CH LEVEL METER (CH4),,-,-,-,-,-,-,-,-,-,-,-,0xB3,0x2,dd,
,3-12,HEADPHONE LEVEL,,No,Turn,-,-,7,CC,-,-,0xB6,"0x0D
0x2D",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,HEADPHONE LEVEL,,Yes,,,,,,,,,,,,,,
,3-13,HEADPHONE MIX,,No,Turn,-,-,7,CC,-,-,0xB6,"0x0C
0x2C",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,HEADPHONE MIX,,Yes,,,,,,,,,,,,,,
,3-14,MIC LEVEL,,No,Turn,-,-,7,CC,-,-,0xB6,"0x05
0x25",MSB LSB,-,-,-,Min(MSB:0x00 LSB:0x00)~Max(MSB:0x7F LSB:0x7F)
,,MIC LEVEL,,Yes,,,,,,,,,,,,,,
4.BROWSE,4-1,BROWSE,,No,Turn,-,-,7,CC,64,-,0xB6,0x40,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 01 (0x41)
Turn counterclockwise : Decreases from 127 (0x7F)"
,,BROWSE,,Yes,,,,7,CC,100,-,0xB6,0x64,dd,-,-,-,
,,BROWSE,,No,Press,-,-,7,Note,65,F4,0x96,0x41,dd,-,-,-,"Release=0x00, Press=0x7F"
,,BROWSE,,Yes,,,,7,Note,66,F#4,0x96,0x42,dd,-,-,-,"Release=0x00, Press=0x7F"
,4-2,BACK,,No,Press,-,-,7,Note,101,F7,0x96,0x65,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,BACK,,Yes,Press,,,7,Note,102,F#7,0x96,0x66,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,4-3,VIEW,,No,Press,-,-,7,Note,122,D9,0x96,0x7A,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,VIEW,,No,Long Press,,,7,Note,103,G7,0x96,0x67,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,VIEW,,Yes,Press,,,7,Note,104,G#7,0x96,0x68,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,4-4,LOAD (Deck1),,No,Press,Deck 1,-,7,Note,70,A#4,0x96,0x46,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,LOAD (Deck1),,Yes,Press,,,7,Note,88,E6,0x96,0x58,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,4-5,LOAD (Deck2),,No,Press,-,-,7,Note,71,B4,0x96,0x47,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,LOAD (Deck2),,Yes,Press,,,7,Note,89,F6,0x96,0x59,dd,-,-,,"NoteOff=0x00, NoteOn=0x7F"
,4-6,LOAD (Deck3),,No,Press,-,-,7,Note,72,C5,0x96,0x48,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,LOAD (Deck3),,Yes,Press,,,7,Note,96,C7,0x96,0x60,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,4-7,LOAD (Deck4),,No,Press,-,-,7,Note,73,C#5,0x96,0x49,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,LOAD (Deck4),,Yes,Press,,,7,Note,97,C#7,0x96,0x61,dd,-,-,,"NoteOff=0x00, NoteOn=0x7F"
5.PERFORMANCE,5-1L,HOT CUE MODE L,,No,Press,Deck 1,-,1,Note,27,D#1,0x90,0x1B,dd,0x90,0x1B,dd,"NoteOff=0x00, NoteOn=0x7F"
PADS,,HOT CUE MODE L,,Yes,,,,1,Note,105,A7,0x90,0x69,dd,0x90,0x69,dd,"NoteOff=0x00, NoteOn=0x7F"
,,HOT CUE MODE L,,No,Press,Deck 3,-,3,Note,27,D#1,0x92,0x1B,dd,0x92,0x1B,dd,"NoteOff=0x00, NoteOn=0x7F"
,,HOT CUE MODE L,,Yes,,,,3,Note,105,A7,0x92,0x69,dd,0x92,0x69,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-1R,HOT CUE MODE R,,No,Press,Deck 2,-,2,Note,27,D#1,0x91,0x1B,dd,0x91,0x1B,dd,"NoteOff=0x00, NoteOn=0x7F"
,,HOT CUE MODE R,,Yes,,,,2,Note,105,A7,0x91,0x69,dd,0x91,0x69,dd,"NoteOff=0x00, NoteOn=0x7F"
,,HOT CUE MODE R,,No,Press,Deck 4,-,4,Note,27,D#1,0x93,0x1B,dd,0x93,0x1B,dd,"NoteOff=0x00, NoteOn=0x7F"
,,HOT CUE MODE R,,Yes,,,,4,Note,105,A7,0x93,0x69,dd,0x93,0x69,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-2L,PAD FX MODE L,,No,Press,Deck 1,-,1,Note,30,F#1,0x90,0x1E,dd,0x90,0x1E,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PAD FX MODE L,,Yes,,,,1,Note,111,D#8,0x90,0x6B,dd,0x90,0x6F,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PAD FX MODE L,,No,Press,Deck 3,-,3,Note,30,F#1,0x92,0x1E,dd,0x92,0x1E,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PAD FX MODE L,,Yes,,,,3,Note,111,D#8,0x92,0x6B,dd,0x92,0x6F,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-2R,PAD FX MODE R,,No,Press,Deck 2,-,2,Note,30,F#1,0x91,0x1E,dd,0x91,0x1E,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PAD FX MODE R,,Yes,,,,2,Note,111,D#8,0x91,0x6B,dd,0x91,0x6F,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PAD FX MODE R,,No,Press,Deck 4,-,4,Note,30,F#1,0x93,0x1E,dd,0x93,0x1E,dd,"NoteOff=0x00, NoteOn=0x7F"
,,PAD FX MODE R,,Yes,,,,4,Note,111,D#8,0x93,0x6B,dd,0x93,0x6F,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-3L,BEAT JUMP MODE L,,No,Press,Deck 1,-,1,Note,32,G#1,0x90,0x20,dd,0x90,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT JUMP MODE L,,Yes,,,,1,Note,109,C#8,0x90,0x6D,dd,0x90,0x6D,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT JUMP MODE L,,No,Press,Deck 3,-,3,Note,32,G#1,0x92,0x20,dd,0x92,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT JUMP MODE L,,Yes,,,,3,Note,109,C#8,0x92,0x6D,dd,0x92,0x6D,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-3R,BEAT JUMP MODE R,,No,Press,Deck 2,-,2,Note,32,G#1,0x91,0x20,dd,0x91,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT JUMP MODE R,,Yes,,,,2,Note,109,C#8,0x91,0x6D,dd,0x91,0x6D,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT JUMP MODE R,,No,Press,Deck 4,-,4,Note,32,G#1,0x93,0x20,dd,0x93,0x20,dd,"NoteOff=0x00, NoteOn=0x7F"
,,BEAT JUMP MODE R,,Yes,,,,4,Note,109,C#8,0x93,0x6D,dd,0x93,0x6D,dd,"NoteOff=0x00, NoteOn=0x7F"
,5-4L,SAMPLER MODE L,,No,Press,Deck 1,-,1,Note,34,A#1,0x90,0x22,dd,0x90,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
,,SAMPLER MODE L,,Yes,,,,1,Note,107,B7,0x90,0x6F,dd,0x90,0x6B,dd,"NoteOff=0x00, NoteOn=0x7F"
,,SAMPLER MODE L,,No,Press,Deck 3,-,3,Note,34,A#1,0x92,0x22,dd,0x92,0x22,dd,"NoteOff=0x00, NoteOn=0x7F"
