Group,Fig.,User Interface,,,,,,MIDI assign reference,,,,"MIDI-IN
(to PC/Mac)",,,"MIDI-OUT
(from PC/Mac)",,,Details (Data 2)
,,UI name,+SHIFT,,Trigger,Deck,Condition (mode),"MIDI
Channel (Dec)","NOTE
/ CC",MIDI Data (Data 1) (Dec),(English scale),Status (Hex),Data 1 (Hex),Data 2 (Hex),Status (Hex),Data 1 (Hex),Data 2 (Hex),
,,JOG DIAL R (Platter),,No,Touch,,,2,Note,54,F#3,0x91,0x36,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Platter),,Yes,,,,2,Note,103,G7,0x91,0x67,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Wheel side),,No,Turn,,,2,CC,33,-,0xB1,0x21,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Wheel side),,Yes,,,,2,CC,38,-,0xB1,0x26,dd,,,,
,,JOG ILLUMINATION R,,-,-,,-,12,CC,-,-,-,-,-,0xBB,0x1,dd,0x00~0x48
,,JOG DIAL R (Platter),,No,Turn,Deck 4,Vinyl On,4,CC,34,-,0xB3,0x22,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Platter),,,,,Vinyl Off,4,CC,35,-,0xB3,0x23,dd,-,-,-,
,,JOG DIAL R (Platter),,Yes,,,-,4,CC,41,-,0xB3,0x29,dd,-,-,-,
,,JOG DIAL R (Platter),,No,Touch,,,4,Note,54,F#3,0x93,0x36,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Platter),,Yes,,,,4,Note,103,G7,0x93,0x67,dd,-,-,-,"Release=0x00, Touch=0x7F"
,,JOG DIAL R (Wheel side),,No,Turn,,,4,CC,33,-,0xB3,0x21,dd,-,-,-,"Difference count value from previous operated Turn clockwise : Increases from 65 (0x41)
Turn counterclockwise : Decreases from 63 (0x3F)"
,,JOG DIAL R (Wheel side),,Yes,,,,4,CC,38,-,0xB3,0x26,dd,,,,
,,JOG ILLUMINATION R,,-,-,,-,12,CC,-,-,-,-,-,0xBB,0x3,dd,0x00~0x48
,1-5L,DECK L,,No,Press,-,-,3,Note,114,F#8,0x92,0x72,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,DECK L,,,,,,1,Note,60,C4,0x90,0x3C,0x7F,-,-,-,Deck1 control on
,,DECK L,,,,,,3,Note,60,C4,0x92,0x3C,0x0,-,-,-,Deck3 control off
,,DECK L,,Yes,,,,7,Note,124,D#9,0x96,0x7C,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,DECK L,,No,Press,-,-,3,Note,114,F#8,0x92,0x72,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,DECK L,,,,,,1,Note,60,C4,0x90,0x3C,0x0,-,-,-,Deck1 control off
,,DECK L,,,,,,3,Note,60,C4,0x92,0x3C,0x7F,-,-,-,Deck3 control on
,,DECK L,,Yes,,,,7,Note,124,D#9,0x96,0x7C,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-5R,DECK R,,No,Press,-,-,4,Note,114,F#8,0x93,0x72,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,DECK R,,,,,,2,Note,60,C4,0x91,0x3C,0x7F,-,-,-,Deck2 control on
,,DECK R,,,,,,4,Note,60,C4,0x93,0x3C,0x0,-,-,-,Deck4 control off
,,DECK R,,Yes,,,,7,Note,125,F9,0x96,0x7D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,DECK R,,No,Press,-,-,4,Note,114,F#8,0x93,0x72,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,DECK R,,,,,,2,Note,60,C4,0x91,0x3C,0x0,-,-,-,Deck2 control off
,,DECK R,,,,,,4,Note,60,C4,0x93,0x3C,0x7F,-,-,,Deck4 control on
,,DECK R,,Yes,,,,7,Note,125,F9,0x96,0x7D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-6L,JOG CUTTER L,,No,Press,Deck 1,-,1,Note,28,E1,0x90,0x1C,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,JOG CUTTER L,,Yes,,,,1,Note,23,B0,0x90,0x17,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,JOG CUTTER L,,No,Press,Deck 3,-,3,Note,28,E1,0x92,0x1C,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,JOG CUTTER L,,Yes,,,,3,Note,23,B0,0x92,0x17,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-6R,JOG CUTTER R,,No,Press,Deck 2,-,2,Note,28,E1,0x91,0x1C,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,JOG CUTTER R,,Yes,,,,2,Note,23,B0,0x91,0x17,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,JOG CUTTER R,,No,Press,Deck 4,-,4,Note,28,E1,0x93,0x1C,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,JOG CUTTER R,,Yes,,,,4,Note,23,B0,0x93,0x17,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,1-7L,IN/-4BEAT L,,No,Press,Deck 1,-,1,Note,16,E0,0x90,0x10,dd,0x90,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,IN/-4BEAT L,,,Long press,,-,1,Note,20,G#0,0x90,0x14,dd,,,,"NoteOff=0x00, NoteOn=0x7F First  90 10 7F, Second 90 14 7F"
,,IN/-4BEAT L,,Yes,Press,,-,1,Note,76,E5,0x90,0x4C,dd,0x90,0x4C,dd,"NoteOff=0x00, NoteOn=0x7F"
,,IN/-4BEAT L,,No,Press,Deck 3,-,3,Note,16,E0,0x92,0x10,dd,0x92,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,IN/-4BEAT L,,,Long press,,-,3,Note,20,G#0,0x92,0x14,dd,,,,"NoteOff=0x00, NoteOn=0x7F First  92 10 7F, Second 92 14 7F"
,,IN/-4BEAT L,,Yes,Press,,-,3,Note,76,E5,0x92,0x4C,dd,0x92,0x4C,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-7R,IN/-4BEAT R,,No,Press,Deck 2,-,2,Note,16,E0,0x91,0x10,dd,0x91,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,IN/-4BEAT R,,,Long press,,-,2,Note,20,G#0,0x91,0x14,dd,,,,"NoteOff=0x00, NoteOn=0x7F First  91 10 7F, Second 91 14 7F"
,,IN/-4BEAT R,,Yes,Press,,-,2,Note,76,E5,0x91,0x4C,dd,0x91,0x4C,dd,"NoteOff=0x00, NoteOn=0x7F"
,,IN/-4BEAT R,,No,Press,Deck 4,-,4,Note,16,E0,0x93,0x10,dd,0x93,0x10,dd,"NoteOff=0x00, NoteOn=0x7F"
,,IN/-4BEAT R,,,Long press,,-,4,Note,20,G#0,0x93,0x14,dd,,,,"NoteOff=0x00, NoteOn=0x7F First  93 10 7F, Second 93 14 7F"
,,IN/-4BEAT R,,Yes,Press,,-,4,Note,76,E5,0x93,0x4C,dd,0x93,0x4C,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-8L,OUT L,,No,Press,Deck 1,-,1,Note,17,F0,0x90,0x11,dd,0x90,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,OUT L,,Yes,,,-,1,Note,119,B8,0x90,0x77,dd,0x90,0x77,dd,"NoteOff=0x00, NoteOn=0x7F"
,,OUT L,,No,Press,Deck 3,-,3,Note,17,F0,0x92,0x11,dd,0x92,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,OUT L,,Yes,,,-,3,Note,119,B8,0x92,0x77,dd,0x92,0x77,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-8R,OUT R,,No,Press,Deck 2,-,2,Note,17,F0,0x91,0x11,dd,0x91,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,OUT R,,Yes,,,-,2,Note,119,B8,0x91,0x77,dd,0x91,0x77,dd,"NoteOff=0x00, NoteOn=0x7F"
,,OUT R,,No,Press,Deck 4,-,4,Note,17,F0,0x93,0x11,dd,0x93,0x11,dd,"NoteOff=0x00, NoteOn=0x7F"
,,OUT R,,Yes,,,-,4,Note,119,B8,0x93,0x77,dd,0x93,0x77,dd,"NoteOff=0x00, NoteOn=0x7F"
,1-9L,RELOOP/EXIT L,,No,Press,Deck 1,-,1,Note,77,F5,0x90,0x4D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,RELOOP/EXIT L,,Yes,,,-,1,Note,80,G#5,0x90,0x50,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,RELOOP/EXIT L,,No,Press,Deck 3,-,3,Note,77,F5,0x92,0x4D,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
,,RELOOP/EXIT L,,Yes,,,-,3,Note,80,G#5,0x92,0x50,dd,-,-,-,"NoteOff=0x00, NoteOn=0x7F"
